List_A_Item	Best_Match_from_List_B
sausage, breakfast sausage, beef, pre-cooked, unprepared	ground pork
applesauce, canned, unsweetened, without added ascorbic acid (includes usda commodity)	none
pork, fresh, loin, center rib (chops), bone-in, separable lean only, cooked, braised	none
peas, green, frozen, cooked, boiled, drained, without salt	frozen whole sweet green peas (flav r pac)
fish, tuna, fresh, yellowfin, raw	albacore white tuna
beverages, tea, instant, decaffeinated, unsweetened	none
peaches, canned, water pack, solids and liquids	none
soup, stock, chicken, home-prepared	low sodium chicken broth
pasta, dry, enriched	whole wheat spaghetti
beverages, tea, instant, lemon, unsweetened	none
plantains, yellow, raw	plantain banana (steamed 10 in)
pork, fresh, shoulder, (boston butt), blade (steaks), separable lean only, cooked, braised	none
potatoes, hash brown, frozen, plain, prepared, pan fried in canola oil	none
beef, cured, corned beef, brisket, cooked	none
pie fillings, apple, canned	none
apple juice, frozen concentrate, unsweetened, undiluted, without added ascorbic acid	apple juice
pork, cured, ham, whole, separable lean only, roasted	none
pork, cured, ham, extra lean and regular, canned, roasted	none
pork, cured, ham, shank, bone-in, separable lean and fat, heated, roasted	none
pork, fresh, shoulder, arm picnic, separable lean and fat, cooked, braised	none
pears, canned, water pack, solids and liquids	whole bartlett pear flesh only
pickles, cucumber, sour	pickles
beans, snap, green, canned, no salt added, drained solids	canned black beans (s&w)
potato puffs, frozen, unprepared	frozen whole sweet green peas (flav r pac)
peas, green, raw	none
breakfast bar, corn flake crust with fruit	organic frosted flakes cereals
nuts, coconut meat, raw	dried coconut strips
pork, cured, ham and water product, whole, boneless, separable lean only, heated, roasted	none
pork, cured, ham with natural juices, whole, boneless, separable lean only, heated, roasted	none
cabbage, chinese (pak-choi), raw	steamed whole snow peas
plums, dried (prunes), uncooked	unsweetened pitted prunes
broccoli, cooked, boiled, drained, without salt	none
orange juice, frozen concentrate, unsweetened, undiluted, with added calcium	pulp free orange juice
turkey breast, sliced, prepackaged	none
beets, canned, no salt added, solids and liquids	canned black beans (s&w)
beef, chuck, arm pot roast, separable lean only, trimmed to 1/8 fat, all grades, cooked, braised	none
beef, chuck, arm pot roast, separable lean and fat, trimmed to 1/8 fat, all grades, cooked, braised	none
pork, fresh, composite of trimmed retail cuts (leg, loin, and shoulder), separable lean only, cooked	none
roast beef, deli style, prepackaged, sliced	none
cream, fluid, light (coffee cream or table cream)	sour cream
buckwheat flour, whole-groat	whole grain brown lentils
corn flour, masa, enriched, white	none
peppers, hot chili, green, raw	steamed whole green bell pepper w/o seed
beef, ground, 85% lean meat / 15% fat, raw (includes foods for usda's food distribution program)	ground pork
beef, rib, shortribs, separable lean only, choice, cooked, braised	none
pork, cured, ham, boneless, extra lean and regular, unheated	none
beets, pickled, canned, solids and liquids	canned black beans (s&w)
beverages, tea, instant, decaffeinated, lemon, diet	none
peas, green, cooked, boiled, drained, without salt	none
peas, green (includes baby and lesuer types), canned, drained solids, unprepared	green split peas
pork, fresh, shoulder, (boston butt), blade (steaks), separable lean only, raw	none
pork, fresh, shoulder, (boston butt), blade (steaks), separable lean only, with added solution, raw	none
mustard greens, frozen, cooked, boiled, drained, without salt	none
peas, green, canned, no salt added, solids and liquids	green split peas
beef, cured, corned beef, canned	none
beverages, tea, instant, lemon, diet	steamed whole snow peas
pasta, whole-wheat, cooked (includes foods for usda's food distribution program)	whole wheat spaghetti
peas, edible-podded, raw	steamed whole snow peas
nuts, almond paste	none
tomatoes, red, ripe, cooked	muir's diced tomatoes
soup, vegetable with beef broth, canned, prepared with equal volume water	chunky vegetable soup
pork, fresh, loin, whole, separable lean only, cooked, braised	none
broccoli, chinese, raw	frozen broccoli florets
beef, chuck, arm pot roast, separable lean and fat, trimmed to 1/8 fat, choice, cooked, braised	none
beef, chuck, arm pot roast, separable lean only, trimmed to 1/8 fat, choice, cooked, braised	none
pork, fresh, loin, tenderloin, separable lean and fat, raw	none
pork, fresh, loin, tenderloin, separable lean and fat, with added solution, raw	none
kielbasa, fully cooked, grilled	none
potatoes, baked, skin, without salt	steamed whole russet potato
beets, canned, drained solids	peeled, steamed beetroot
milk, imitation, non-soy	none
beef, round, bottom round , roast, separable lean only, trimmed to 1/8 fat, select, cooked, roasted	none
pork, cured, bacon, unprepared	none
beef, cured, pastrami	none
beef, brisket, whole, separable lean only, trimmed to 0 fat, all grades, cooked, braised	none
beef, brisket, whole, separable lean and fat, trimmed to 0 fat, all grades, cooked, braised	none
pork, fresh, shoulder, whole, separable lean only, cooked, roasted	none
corn, sweet, yellow, canned, no salt added, solids and liquids	canned black beans (s&w)
peas, edible-podded, boiled, drained, without salt	steamed whole snow peas
collards, frozen, chopped, cooked, boiled, drained, without salt	steamed collard greens leaves and stalk
apples, dried, sulfured, stewed, without added sugar	freeze dried apple rings
ice creams, chocolate, rich	vanilla bean ice cream
whey, sweet, dried	none
pork, cured, ham, center slice, country-style, separable lean only, raw	none
carrots, frozen, unprepared	none
peas, green, frozen, unprepared	frozen whole sweet green peas (flav r pac)
canadian bacon, cooked, pan-fried	ground pork
beef, cured, dried	none
beverages, tea, instant, unsweetened, powder	none
pork, fresh, loin, whole, separable lean only, raw	none
apples, raw, without skin, cooked, microwave	none
turkey, whole, breast, meat only, cooked, roasted	none
tomatoes, red, ripe, canned, stewed	muir's diced tomatoes
pork, fresh, shoulder, arm picnic, separable lean only, cooked, braised	none
pork, cured, shoulder, arm picnic, separable lean only, roasted	none
peppers, hot chili, red, canned, excluding seeds, solids and liquids	canned black beans (s&w)
cheese, brick	none
rice, brown, long-grain, raw	enriched long white rice (mahatma)
beef, rib, small end (ribs 10-12), separable lean only, trimmed to 1/8fat, choice, cooked, broiled	none
orange juice, canned, unsweetened	pulp free orange juice
beef, rib, shortribs, separable lean and fat, choice, cooked, braised	none
orange juice, frozen concentrate, unsweetened, diluted with 3 volume water	pulp free orange juice
beets, cooked, boiled, drained	none
carrots, canned, no salt added, solids and liquids	none
pork, fresh, variety meats and by-products, chitterlings, cooked, simmered	none
apricots, canned, light syrup pack, with skin, solids and liquids	none
pork, fresh, leg (ham), whole, separable lean and fat, cooked, roasted	none
soymilk, chocolate, with added calcium, vitamins a and d	soy milk
beef, chuck for stew, separable lean and fat, all grades, cooked, braised	none
peas, edible-podded, frozen, cooked, boiled, drained, without salt	steamed whole snow peas
beans, snap, yellow, cooked, boiled, drained, without salt	none
beef, rib, whole (ribs 6-12), separable lean and fat, trimmed to 1/8 fat, choice, cooked, roasted	none
pineapple, canned, juice pack, solids and liquids	none
pork, fresh, loin, whole, separable lean and fat, cooked, roasted	none
onions, frozen, whole, cooked, boiled, drained, without salt	frozen whole okra
pork, fresh, loin, tenderloin, separable lean only, raw	none
pork, fresh, enhanced, loin, tenderloin, separable lean only, raw	none
pork, cured, ham, extra lean and regular, canned, unheated	none
pork, cured, ham with natural juices, whole, boneless, separable lean and fat, unheated	none
pork, cured, ham and water product, whole, boneless, separable lean and fat, unheated	none
pork, cured, ham -- water added, whole, boneless, separable lean and fat, unheated	none
apricots, canned, heavy syrup pack, with skin, solids and liquids	none
ham, sliced, regular (approximately 11% fat)	ground pork
apricots, canned, juice pack, with skin, solids and liquids	none
pears, asian, raw	whole bartlett pear flesh only
vegetarian fillets	none
beef, composite of trimmed retail cuts, separable lean only, trimmed to 0 fat, all grades, cooked	none
pork, fresh, loin, tenderloin, separable lean only, cooked, roasted	none
cream, fluid, light whipping	sour cream
whey, acid, dried	sour cream
pork, cured, shoulder, arm picnic, separable lean and fat, roasted	none
pork, fresh, composite of trimmed retail cuts (leg, loin, shoulder, and spareribs), separable lean and fat, cooked	none
apples, dehydrated (low moisture), sulfured, uncooked	freeze dried apple rings
tofu, fried	soft silken tofu
pork, fresh, leg (ham), whole, separable lean only, cooked, roasted	none
beverages, coca-cola, powerade, lemon-lime flavored, ready-to-drink	coca cola
corn, sweet, white, canned, whole kernel, drained solids	canned black beans (s&w)
chicken, canned, no broth	canned black beans (s&w)
turkey, fryer-roasters, meat and skin, cooked, roasted	none
pork, cured, bacon, cooked, broiled, pan-fried or roasted, reduced sodium	none
beef, top sirloin, steak, separable lean only, trimmed to 1/8 fat, select, cooked, broiled	none
beef, top sirloin, steak, separable lean and fat, trimmed to 1/8 fat, choice, cooked, pan-fried	none
beef, chuck, arm pot roast, separable lean only, trimmed to 1/8 fat, select, raw	none
cabbage, chinese (pak-choi), cooked, boiled, drained, without salt	none
chicken patty, frozen, cooked	none
apricots, canned, water pack, with skin, solids and liquids	none
beef, composite of trimmed retail cuts, separable lean and fat, trimmed to 1/8 fat, all grades, cooked	none
pork, cured, ham, whole, separable lean only, unheated	none
pork, cured, ham and water product, whole, boneless, separable lean only, unheated	none
pork, cured, ham -- water added, whole, boneless, separable lean only, unheated	none
pork, cured, ham with natural juices, whole, boneless, separable lean only, unheated	none
pork, fresh, shoulder, whole, separable lean and fat, raw	none
pork, cured, ham, extra lean (approximately 4% fat), canned, unheated	none
nuts, coconut meat, dried (desiccated), sweetened, shredded	dried coconut strips
catsup, low sodium	none
beans, snap, yellow, canned, regular pack, drained solids	canned black beans (s&w)
pork, fresh, shoulder, whole, separable lean and fat, cooked, roasted	none
beef, chuck, blade roast, separable lean and fat, trimmed to 1/8 fat, all grades, cooked, braised	none
ham, chopped, not canned	ground pork
beans, baked, canned, no salt added	canned black beans (s&w)
beans, black, mature seeds, canned, low sodium	canned black beans (s&w)
babyfood, fortified cereal bar, fruit filling	none
fish, tuna, light, canned in oil, drained solids	albacore white tuna
pork, fresh, spareribs, separable lean and fat, raw	none
sausage, chicken or turkey, italian style,  lower sodium	none
bacon, turkey, low sodium	none
beverages, tea, ready-to-drink, lemon, diet	none
broccoli, chinese, cooked	none
beverages, tea, oolong, brewed	brewed coffee
beverages, chocolate powder, no sugar added	chocolate
reduced sodium: turkey breast, sliced, prepackaged	none
potatoes, canned, drained solids, no salt added	canned black beans (s&w)
cabbage, japanese style, fresh, pickled	none
cheese, monterey	none
cream substitute, powdered	half and half
milk, lowfat, fluid, 1% milkfat, with added vitamin a and vitamin d	whole milk
milk, nonfat, fluid, with added vitamin a and vitamin d (fat free or skim)	none
spices, cinnamon, ground	none
spices, paprika	none
spices, pepper, black	none
spices, turmeric, ground	none
salt, table, iodized	none
oil, soybean, salad or cooking	none
oil, olive, salad or cooking	none
oil, cottonseed, salad or cooking	none
oil, sunflower, linoleic, (approx. 65%)	sunflower seeds
oil, safflower, salad or cooking, high oleic (primary safflower oil of commerce)	none
oil, corn, industrial and retail, all purpose salad or cooking	none
oil, canola	none
margarine, regular, 80% fat, composite, stick, with salt	unsalted butter
margarine-like, vegetable oil spread, 60% fat, tub, with salt	unsalted butter
margarine, regular, 80% fat, composite, stick, with salt, with added vitamin d	unsalted butter
margarine-like, vegetable oil spread, 60% fat, tub, with salt, with added vitamin d	unsalted butter
potatoes, mashed, dehydrated, flakes without milk, dry form	none
alcoholic beverage, beer, light	budweiser
beverages, carbonated, ginger ale	none
water, tap, drinking	seedless watermelon
leavening agents, baking powder, double-acting, sodium aluminum sulfate	whole original english muffin (thomas)
syrups, corn, light	none
noodles, egg, enriched, cooked	stir fry rice noodle
chewing gum, sugarless	none
cream substitute, liquid, with hydrogenated vegetable oil and soy protein	half and half
spices, basil, dried	basil
spices, coriander leaf, dried	none
spices, ginger, ground	none
spices, marjoram, dried	none
spices, onion powder	onion
spices, sage, ground	beyond sausage
vinegar, distilled	none
lemon juice, raw	none
cassava, raw	none
potato flour	cornmeal
alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 80 proof	budweiser
cheese, mexican, queso asadero	none
lard	steamed collard greens leaves and stalk
oil, peanut, salad or cooking	peanuts
oil, sesame, salad or cooking	none
fat, turkey	ground pork
turkey, skin from whole, (light and dark), with added solution, roasted	none
raisins, seedless	none
beverages, tea, instant, lemon, sweetened, powder	steamed whole green bell pepper w/o seed
fat, chicken	low sodium chicken broth
grape juice, canned or bottled, unsweetened, with added ascorbic acid	pulp free orange juice
soybeans, mature seeds, sprouted, cooked, steamed	none
waterchestnuts, chinese, (matai), raw	steamed whole snow peas
sweeteners, tabletop, sucralose, splenda packets	none
sweeteners, tabletop, saccharin (sodium saccharin)	none
cheese, provolone	none
cheese, swiss	none
spices, chili powder	none
mustard, prepared, yellow	none
chicken, broilers or fryers, skin only, raw	none
beef, retail cuts, separable fat, cooked	none
beverages, lemonade fruit juice drink light, fortified with vitamin e and c	pulp free orange juice
vinegar, cider	none
oil, coconut	dried coconut strips
shortening, vegetable, household, composite	none
chicken, broilers or fryers, dark meat, drumstick, meat only, cooked, roasted	none
tamarinds, raw	none
juice, apple and grape blend, with added ascorbic acid	pulp free orange juice
leavening agents, yeast, baker's, active dry	whole wheat bread
vanilla extract, imitation, no alcohol	none
beverages, lemonade-flavor drink, powder	none
water, tap, municipal	none
fish, salmon, pink, raw	none
molasses	none
ginger root, raw	none
fish, haddock, raw	albacore white tuna
noodles, egg, dry, enriched	stir fry rice noodle
salad dressing, ranch dressing, regular	none
radishes, raw	none
fat, beef tallow	none
beverages, yellow green colored citrus soft drink with caffeine	sprite
beverages, carbonated, root beer	coca cola
cranberry juice, unsweetened	cranberry
cheese, parmesan, grated	none
beverages, carbonated, low calorie, cola or pepper-type, with aspartame, without caffeine	sprite
beverages, carbonated, low calorie, cola or pepper-type, with aspartame, contains caffeine	coca cola
milk, nonfat, fluid, without added vitamin a and vitamin d (fat free or skim)	none
grape juice, canned or bottled, unsweetened, without added ascorbic acid	pulp free orange juice
vitamin d as ingredient	none
cheese, blue	none
alcoholic beverage, wine, dessert, sweet	cabernet sauvignon wine
rye flour, medium	none
nopales, raw	none
beverages, chocolate-flavor beverage mix for milk, powder, with added nutrients	chocolate
milk, buttermilk, fluid, whole	whole milk
avocados, raw, all commercial varieties	none
crustaceans, crab, alaska king, imitation, made from surimi	none
leavening agents, baking soda	none
spices, nutmeg, ground	none
grapefruit juice, white, canned or bottled, unsweetened	deep red grapefruit
tangerine juice, raw	pulp free orange juice
fish, pollock, raw	albacore white tuna
fish, catfish, channel, farmed, raw	none
fish, tilapia, raw	albacore white tuna
cereals ready-to-eat, post, honey bunches of oats, honey roasted	honey nut oat cereal
cheese sauce, prepared from recipe	none
margarine,spread, 35-39% fat, tub	unsalted butter
margarine-like, vegetable oil spread, approximately 37% fat, unspecified oils, with salt, with added vitamin d	unsalted butter
chicken, broilers or fryers, giblets, cooked, simmered	none
apricot nectar, canned, with added ascorbic acid	pulp free orange juice
boysenberries, frozen, unsweetened	frozen whole sweet green peas (flav r pac)
lemons, raw, without peel	yellow banana flesh only
passion-fruit juice, purple, raw	tai nung papaya
pineapple juice, canned or bottled, unsweetened, without added ascorbic acid	pulp free orange juice
mango nectar, canned	none
babyfood, juice, pear	whole bartlett pear flesh only
beverages, slimfast, meal replacement,  high protein shake, ready-to-drink, 3-2-1 plan	none
fish, flatfish (flounder and sole species), raw	none
sweeteners, tabletop, aspartame, equal, packets	none
tomatoes, green, raw	muir's diced tomatoes
beef, variety meats and by-products, tripe, raw	none
tomatillos, raw	none
hominy, canned, white	canned black beans (s&w)
seeds, sesame seeds, whole, dried	none
lamb, composite of trimmed retail cuts, separable lean and fat, trimmed to 1/4 fat, choice, cooked	none
soup, beef broth or bouillon canned, ready-to-serve	chunky vegetable soup
whipped topping, frozen, low fat	none
yogurt, plain, skim milk	yogurt
chicken, broilers or fryers, thigh, meat and skin, raw	none
tomato juice, canned, with salt added	muir's diced tomatoes
peppers, serrano, raw	none
cheese, ricotta, part skim milk	none
alcoholic beverage, malt beer, hard lemonade	budweiser
mollusks, clam, mixed species, canned, drained solids	albacore white tuna
beef, variety meats and by-products, liver, cooked, pan-fried	none
chicken, broilers or fryers, wing, meat and skin, cooked, roasted	none
beverages, tea, herb, other than chamomile, brewed	none
nuts, hazelnuts or filberts	none
leavening agents, yeast, baker's, compressed	whole original english muffin (thomas)
chicken, broilers or fryers, drumstick, meat and skin, cooked, roasted	none
gravy, chicken, canned or bottled, ready-to-serve	canned black beans (s&w)
salad dressing, italian dressing, fat-free	none
gravy, beef, canned, ready-to-serve	canned black beans (s&w)
yogurt, frozen, flavors not chocolate, nonfat milk, with low-calorie sweetener	yogurt
spices, garlic powder	garlic
beverages, coconut water, ready-to-drink, unsweetened	dried coconut strips
fish, cod, pacific, raw (may have been previously frozen)	albacore white tuna
fish, sea bass, mixed species, raw	shrimp
figs, dried, uncooked	dried coconut strips
waterchestnuts, chinese, canned, solids and liquids	canned black beans (s&w)
fish, perch, mixed species, raw	albacore white tuna
olives, ripe, canned (small-extra large)	canned black beans (s&w)
beverages, carbonated, tonic water	none
chicken, liver, all classes, raw	none
animal fat, bacon grease	none
cheese, feta	none
yogurt, frozen, flavors other than chocolate, lowfat	yogurt
persimmons, japanese, raw	tai nung papaya
cheese, fresh, queso fresco	none
fish, salmon, chinook, smoked	none
cabbage, savoy, raw	none
soup, beef broth or bouillon, powder, dry	low sodium chicken broth
lemon peel, raw	none
cheese, ricotta, whole milk	none
beverages, orange breakfast drink, ready-to-drink, with added nutrients	pulp free orange juice
oil, industrial, coconut, confection fat, typical basis for ice cream coatings	dried coconut strips
beverages, carbonated, low calorie, other than cola or pepper,  without caffeine	sprite
beverages, energy drink, red bull	none
spices, pepper, red or cayenne	none
horseradish, prepared	none
frozen yogurts, chocolate, nonfat milk, sweetened without sugar	yogurt
prune juice, canned	unsweetened pitted prunes
beverages, aloe vera juice drink, fortified with vitamin c	none
snacks, pork skins, plain	none
margarine-like, vegetable oil spread, fat-free, tub	plant based bacon strip
spices, thyme, dried	none
crustaceans, crayfish, mixed species, wild, cooked, moist heat	shrimp
beverages, pepsico quaker, gatorade g2, low calorie	gatorade
beverages, cocoa mix, powder	none
alcoholic beverage, liqueur, coffee with cream, 34 proof	budweiser
fluid replacement, electrolyte solution (include pedialyte)	low sodium chicken broth
cheese, mexican blend	none
lamb, loin, separable lean only, trimmed to 1/4 fat, choice, cooked, broiled	none
lamb, loin, separable lean and fat, trimmed to 1/4 fat, choice, cooked, broiled	none
spices, cumin seed	none
spices, oregano, dried	none
oil, industrial, canola, high oleic	none
oil, industrial, soy, low linolenic	soy flour
oil, industrial, soy, ultra low linolenic	soy flour
oil, industrial, soy, fully hydrogenated	soy flour
cream, whipped, cream topping, pressurized	sour cream
snacks, beef jerky, chopped and formed	none
milk, buttermilk, fluid, cultured, reduced fat	sour cream
strawberry-flavor beverage mix, powder	none
beverages, unilever, slimfast, meal replacement, regular, ready-to-drink,  3-2-1 plan	none
fish, ocean perch, atlantic, raw	albacore white tuna
fish, whiting, mixed species, raw	shrimp
watercress, raw	none
orange pineapple juice blend	pulp free orange juice
veal, loin, separable lean and fat, raw	beef round tip steak
beverages, ovaltine, chocolate malt powder	none
margarine-like, vegetable oil spread, 20% fat, with salt	unsalted butter
milk, buttermilk, fluid, cultured, lowfat	sour cream
pimento, canned	none
beverages, orange-flavor drink, breakfast type, powder	pulp free orange juice
cheese, gruyere	none
bamboo shoots, raw	steamed whole snow peas
noodles, flat, crunchy, chinese restaurant	stir fry rice noodle
beverages, rice milk, unsweetened	none
turnips, raw	none
mollusks, clam, mixed species, raw	shrimp
fish, salmon, chum, canned, drained solids with bone	albacore white tuna
tapioca, pearl, dry	none
turnip greens, cooked, boiled, drained, without salt	none
margarine-like, vegetable oil spread, fat free, liquid, with salt	none
pigeonpeas, immature seeds, cooked, boiled, drained, without salt	steamed whole snow peas
crustaceans, crab, blue, cooked, moist heat	none
mollusks, squid, mixed species, raw	shrimp
cream, half and half, fat free	half and half
egg substitute, liquid or frozen, fat free	none
milk, buttermilk, dried	none
spices, parsley, dried	parsley
oil, pam cooking spray, original	none
pineapple juice, canned or bottled, unsweetened, with added ascorbic acid	pulp free orange juice
spices, cloves, ground	none
parmesan cheese topping, fat free	none
chicken, broilers or fryers, thigh, meat and skin, cooked, roasted	none
schiff,tiger's milk bar	none
guavas, common, raw	none
lamb, ground, raw	ground pork
braunschweiger (a liver sausage), pork	ground pork
turnip greens, canned, no salt added	steamed collard greens leaves and stalk
cheese, swiss, low fat	none
sauerkraut, canned, solids and liquids	none
margarine-like spread with yogurt, approximately 40% fat, tub, with salt	yogurt
veal, loin, separable lean only, cooked, roasted	beef round tip steak
fish, cod, atlantic, dried and salted	albacore white tuna
miso	none
alcoholic beverage, rice (sake)	none
pepper, banana, raw	yellow banana flesh only
veal, leg (top round), separable lean only, cooked, pan-fried, not breaded	none
cheese, brie	none
chicken, broilers or fryers, dark meat, drumstick, meat and skin, cooked, braised	none
fish, snapper, mixed species, raw	shrimp
papaya nectar, canned	tai nung papaya
carbonated beverage, cream soda	coca cola
fish, cod, atlantic, canned, solids and liquid	albacore white tuna
beverages, the coca-cola company, minute maid, lemonade	none
fish, croaker, atlantic, raw	albacore white tuna
fish, shark, mixed species, raw	shrimp
chicken, broilers or fryers, dark meat, thigh, meat and skin, cooked, braised	none
spices, poultry seasoning	none
guava sauce, cooked	none
lemon juice from concentrate, canned or bottled	pulp free orange juice
beverages, tea, green, brewed, decaffeinated	none
figs, raw	none
chicken, broilers or fryers, wing, meat and skin, cooked, stewed	none
turnip greens, frozen, cooked, boiled, drained, without salt	none
beverage, instant breakfast powder, chocolate, not reconstituted	protein powder
pork, fresh, backfat, raw	none
beans, pink, mature seeds, raw	canned kidney beans
fish, cod, atlantic, cooked, dry heat	albacore white tuna
mollusks, scallop, mixed species, raw	shrimp
cheese, goat, semisoft type	sharp chedder cheese
pear nectar, canned, without added ascorbic acid	whole bartlett pear flesh only
alcoholic beverage, creme de menthe, 72 proof	none
beverages, carbonated, club soda	none
cheese, cottage, nonfat, uncreamed, dry, large or small curd	cottage cheese
cheese, cream, fat free	sour cream
fish, trout, rainbow, farmed, raw	none
millet, puffed	none
crustaceans, lobster, northern, cooked, moist heat	none
reduced sodium: ham, sliced, pre-packaged, deli meat (96%fat free, water added)	none
beverages, carbonated, low calorie, other than cola or pepper, with aspartame, contains caffeine	sprite
oil, flaxseed, cold pressed	golden flaxseed
frozen yogurts, chocolate	yogurt
radicchio, raw	none
olives, pickled, canned or bottled, green	none
cranberries, raw	none
pears, dried, sulfured, uncooked	whole bartlett pear flesh only
spices, curry powder	none
lamb, shoulder, whole (arm and blade), separable lean and fat, trimmed to 1/4 fat, choice, cooked, roasted	none
lamb, shoulder, whole (arm and blade), separable lean only, trimmed to 1/4 fat, choice, cooked, roasted	none
fish, scup, raw	albacore white tuna
beverages, nestle, boost plus, nutritional drink, ready-to-drink	none
beverages, abbott, ensure, nutritional shake, ready-to-drink	none
chicken, broiler, rotisserie, bbq, wing, meat and skin	none
leeks, (bulb and lower leaf-portion), raw	none
beans, pink, mature seeds, cooked, boiled, without salt	canned black beans (s&w)
cheese, muenster, low fat	none
soybeans, mature cooked, boiled, without salt	none
snacks, plantain chips, salted	none
turnips, frozen, cooked, boiled, drained, without salt	none
beef, variety meats and by-products, tongue, cooked, simmered	none
soybeans, mature seeds, roasted, salted	peanuts
game meat, deer, loin, separable lean only, 1 steak, cooked, broiled	none
salad dressing, thousand island dressing, fat-free	none
game meat, deer, shoulder clod, separable lean only, cooked, braised	none
noodles, chinese, chow mein	stir fry rice noodle
cheese, muenster	none
mollusks, clam, mixed species, canned, liquid	albacore white tuna
oil, industrial, soy (partially hydrogenated), multiuse for non-dairy butter flavor	none
mollusks, mussel, blue, raw	none
chicken, gizzard, all classes, cooked, simmered	none
milk, dry, nonfat, regular, without added vitamin a and vitamin d	none
fish, cod, pacific, cooked, dry heat (may contain additives to retain moisture)	albacore white tuna
fish, salmon, pink, canned, total can contents	none
ham salad spread	none
malt beverage, includes non-alcoholic beer	budweiser
game meat, deer, ground, raw	ground pork
chicken, broilers or fryers, back, meat and skin, cooked, roasted	none
nopales, cooked, without salt	none
margarine, regular, 80% fat, composite, stick, without salt	unsalted butter
margarine, regular, 80% fat, composite, stick, without salt, with added vitamin d	unsalted butter
peaches, dried, sulfured, uncooked	unsweetened pitted prunes
margarine-like, margarine-butter blend, soybean oil and butter	unsalted butter
mung beans, mature seeds, cooked, boiled, without salt	green split peas
fish, swordfish, raw	none
leavening agents, baking powder, double-acting, straight phosphate	whole wheat flour
beverages, propel zero, fruit-flavored, non-carbonated	pulp free orange juice
beverages, tea, herb, brewed, chamomile	none
crustaceans, crab, blue, canned	none
chicken, feet, boiled	none
frozen yogurts, flavors other than chocolate	yogurt
veal, sirloin, separable lean and fat, cooked, roasted	none
shortening industrial, soybean (hydrogenated) and cottonseed	none
oil, industrial, soy (partially hydrogenated)  and cottonseed, principal use as a tortilla shortening	none
sweeteners, tabletop, fructose, dry, powder	none
rhubarb, raw	none
bamboo shoots, canned, drained solids	steamed whole snow peas
cheese, mexican, queso chihuahua	none
chayote, fruit, cooked, boiled, drained, without salt	none
guava nectar, with sucralose, canned	pulp free orange juice
milk, dry, nonfat, regular, with added vitamin a and vitamin d	none
baking chocolate, unsweetened, squares	chocolate
cheese, mexican, queso anejo	none
onions, dehydrated flakes	onion
chicken, liver, all classes, cooked, simmered	none
chicken, cornish game hens, meat and skin, cooked, roasted	none
game meat, goat, cooked, roasted	none
mollusks, oyster, eastern, wild, raw	none
chicken, broiler, rotisserie, bbq, thigh, meat and skin	none
milk, dry, whole, with added vitamin d	whole milk
spices, pumpkin pie spice	none
fish, salmon, sockeye, canned, drained solids	albacore white tuna
beverages, abbott, ensure plus, ready-to-drink	none
egg, whole, dried	none
grapefruit juice, white, frozen concentrate, unsweetened, undiluted	deep red grapefruit
margarine-like vegetable-oil spread, stick/tub/bottle, 60% fat, with added vitamin d	unsalted butter
sour cream, fat free	sour cream
cereals ready-to-eat, wheat germ, toasted, plain	honey nut oat cereal
oil, almond	almond butter (justin's)
fish, mackerel, atlantic, raw	albacore white tuna
fish, mackerel, pacific and jack, mixed species, raw	albacore white tuna
milk, goat, fluid, with added vitamin d	whole milk
spices, celery seed	steamed celery stalk
duck, domesticated, meat and skin, cooked, roasted	none
chicken, broilers or fryers, neck, meat and skin, cooked simmered	none
cheese, gouda	none
crustaceans, crayfish, mixed species, wild, raw	shrimp
lamb, foreshank, separable lean and fat, trimmed to 1/4 fat, choice, cooked, braised	none
milk, dry, nonfat, instant, with added vitamin a and vitamin d	none
crustaceans, lobster, northern, raw	none
lamb, leg, whole (shank and sirloin), separable lean and fat, trimmed to 1/4 fat, choice, cooked, roasted	none
lamb, leg, whole (shank and sirloin), separable lean only, trimmed to 1/4 fat, choice, cooked, roasted	none
cheese, romano	none
oil, industrial, soy ( partially hydrogenated), all purpose	none
leavening agents, cream of tartar	none
taro, cooked, without salt	none
yam, cooked, boiled, drained, or baked, without salt	steamed whole sweet potato
rutabagas, raw	none
celeriac, raw	steamed celery stalk
fish, pompano, florida, raw	none
candies, confectioner's coating, yogurt	yogurt
margarine-like, vegetable oil spread, 60% fat, stick/tub/bottle, with salt	unsalted butter
chicken, broilers or fryers, separable fat, raw	none
babyfood, teething biscuits	none
fish, sardine, atlantic, canned in oil, drained solids with bone	albacore white tuna
nuts, coconut cream, canned, sweetened	dried coconut strips
seeds, sesame seed kernels, dried (decorticated)	peanuts
cheese, cottage, lowfat, 1% milkfat	cottage cheese
alcoholic beverage, liqueur, coffee, 53 proof	budweiser
peach nectar, canned, with sucralose, without added ascorbic acid	none
turnips, cooked, boiled, drained, without salt	steamed whole carrots
chicken, broilers or fryers, dark meat, meat only, cooked, roasted	none
nuts, chestnuts, european, roasted	peanuts
sauce, horseradish	none
fish, herring, atlantic, raw	albacore white tuna
cheese, monterey, low fat	none
spices, caraway seed	none
game meat, bison, separable lean only, cooked, roasted	none
frog legs, raw	none
beverages, coffee substitute, cereal grain beverage, prepared with water	brewed coffee
fish, mackerel, jack, canned, drained solids	albacore white tuna
alcoholic beverage, wine, light	cabernet sauvignon wine
sweetener, herbal extract powder from stevia leaf	none
