input_desc,predicted_desc,target_desc,label,correct
"turkey, retail parts, drumstick, meat and skin, raw",chicken breast,,,False
"turkey, all classes, meat and skin, cooked, roasted",chicken breast,,,False
"turkey, fryer-roasters, meat and skin, cooked, roasted",chicken breast,ground turkey,1.0,False
"turkey, young hens, meat and skin, cooked, roasted",chicken breast,,,False
"turkey, young toms, meat and skin, cooked, roasted",chicken breast,,,False
"turkey bacon, microwaved",chicken breast,,,False
"turkey ham, sliced, extra lean, prepackaged or deli-sliced",chicken breast,,,False
"turkey, deli meat, oven roasted, luncheon meat",chicken breast,,,False
"chicken, deli meat, rotisserie seasoned, sliced, prepackaged",chicken breast,,,False
"ham, sliced, regular (approximately 11% fat)",lean ground beef,ground pork,1.0,False
"ham, sliced, extra lean (approximately 5% fat)",lean ground beef,,,False
"ham, honey, sliced, extra lean (approximately 5% fat)",lean ground beef,,,False
"bacon, turkey, microwaved",chicken breast,ground turkey,1.0,False
"bacon, pork, cured, cooked, microwaved",lean ground beef,,,False
"canadian bacon, cooked, pan-fried",lean ground beef,ground pork,1.0,False
"sausage, pork, fresh, cooked",lean ground beef,,,False
"sausage, turkey, fresh, cooked",chicken breast,,,False
"sausage, chicken, fresh, cooked",chicken breast,,,False
"sausage, beef, fresh, cooked",lean ground beef,,,False
"frankfurter, beef",lean ground beef,,,False
"frankfurter, chicken",chicken breast,,,False
"frankfurter, turkey",chicken breast,ground turkey,1.0,False
"frankfurter, pork",lean ground beef,,,False
"bologna, beef",lean ground beef,,,False
"bologna, chicken, turkey",chicken breast,,,False
"pastrami, beef, 98% fat-free",lean ground beef,,,False
"corned beef, cured, cooked",lean ground beef,,,False
"salami, italian, pork",lean ground beef,,,False
"pepperoni, beef and pork, sliced",lean ground beef,,,False
liverwurst spread,lean ground beef,,,False
"duck, domesticated, meat and skin, cooked, roasted",chicken breast,,,False
"goose, domesticated, meat and skin, cooked, roasted",chicken breast,,,False
"rabbit, domesticated, composite of cuts, cooked, roasted",lean ground beef,,,False
"venison, cooked, roasted",lean ground beef,,,False
"bison, ground, grass-fed, cooked",lean ground beef,,,False
"lamb, domestic, composite of trimmed retail cuts, separable lean only, trimmed to 1/4"" fat, choice, cooked",lean ground beef,,,False
"veal, composite of trimmed retail cuts, separable lean only, cooked",lean ground beef,,,False
"fish, anchovies, european, canned in oil, drained solids",canned tuna in water,,,False
"fish, bass, freshwater, mixed species, cooked, dry heat",salmon,,,False
"fish, catfish, channel, farmed, cooked, dry heat",salmon,,,False
"fish, flounder, cooked, dry heat",salmon,,,False
"fish, haddock, cooked, dry heat",salmon,,,False
"fish, herring, atlantic, cooked, dry heat",salmon,,,False
"fish, mackerel, atlantic, cooked, dry heat",salmon,,,False
"fish, mahi mahi, cooked, dry heat",salmon,,,False
"fish, orange roughy, cooked, dry heat",salmon,,,False
"fish, perch, mixed species, cooked, dry heat",salmon,,,False
"fish, pike, northern, cooked, dry heat",salmon,,,False
"fish, pollock, alaska, cooked, dry heat",salmon,,,False
"fish, rockfish, pacific, mixed species, cooked, dry heat",salmon,,,False
"fish, sardine, atlantic, canned in oil, drained solids with bone",canned tuna in water,,,False
"fish, sea bass, mixed species, cooked, dry heat",salmon,,,False
"fish, snapper, mixed species, cooked, dry heat",salmon,,,False
"fish, sole, cooked, dry heat",salmon,,,False
"fish, swordfish, cooked, dry heat",salmon,,,False
"fish, tilapia, cooked, dry heat",salmon,,,False
"fish, trout, mixed species, cooked, dry heat",salmon,,,False
"fish, tuna, bluefin, fresh, cooked, dry heat",canned tuna in water,,,False
"fish, whiting, mixed species, cooked, dry heat",salmon,,,False
"fishsticks, frozen, prepared",salmon,,,False
"fish, salmon, coho, farmed, cooked, dry heat",salmon,,,False
"fish, salmon, pink, canned, solids with bone and liquid",canned tuna in water,,,False
"fish, salmon, sockeye, canned, drained solids with bone",canned tuna in water,,,False
"crab, alaska king, cooked, moist heat",salmon,,,False
"crab, blue, cooked, moist heat",salmon,,,False
"crab, dungeness, cooked, moist heat",salmon,,,False
"lobster, northern, cooked, moist heat",salmon,,,False
"crawfish, mixed species, farmed, cooked, moist heat",salmon,,,False
"scallops, mixed species, cooked, breaded and fried",salmon,,,False
"oysters, eastern, farmed, cooked, dry heat",salmon,,,False
"clams, mixed species, cooked, moist heat",salmon,,,False
"mussels, blue, cooked, moist heat",salmon,,,False
"squid, mixed species, cooked, fried",salmon,,,False
"octopus, common, cooked, moist heat",salmon,,,False
"abalone, mixed species, cooked, fried",salmon,,,False
"conch, baked or broiled",salmon,,,False
"eel, mixed species, cooked, dry heat",salmon,,,False
"croaker, atlantic, cooked, dry heat",salmon,,,False
"drum, freshwater, cooked, dry heat",salmon,,,False
"grouper, mixed species, cooked, dry heat",salmon,,,False
"monkfish, cooked, dry heat",salmon,,,False
"porgy, cooked, dry heat",salmon,,,False
"sheepshead, cooked, dry heat",salmon,,,False
"spot, cooked, dry heat",salmon,,,False
"striped bass, cooked, dry heat",salmon,,,False
"sturgeon, mixed species, cooked, dry heat",salmon,,,False
"sucker, white, cooked, dry heat",salmon,,,False
"sunfish, pumpkin seed, cooked, dry heat",salmon,,,False
"tilefish, cooked, dry heat",salmon,,,False
"weakfish, cooked, dry heat",salmon,,,False
"wolffish, atlantic, cooked, dry heat",salmon,,,False
"yellowtail, mixed species, cooked, dry heat",salmon,,,False
